473,relatives,Marticualte,fisherman,No,East,612,Sale Deed,48410,Central,2281,Cheque,10,36460349,Yes,4565324,5031493,6348132,8123142,9834807,Income,Income,Income,0,Yes,3,10,95798707,No,0,Yes,0,228927334,5914931,Yes,12,Family,10,2,7,7,2,1,0,Approved Transaction
683,relatives,Graduate,civil servant,Yes,North,1099,Will,1394,West,30373,Cash,4,14831040,Yes,1651989,2883877,2732241,2385524,2804498,Income,Income,Inheritance,1,Yes,4,10,90335919,No,0,Yes,1,206821414,5004932,Yes,4,NBFC,10,3,7,4,4,1,1,Suspicious
1090,others,Graduate,builder,No,South,2200,Sale Deed,58431,Central,2427,Cheque,6,70006271,Yes,4537321,5252423,6279437,7401819,8879772,Rental Income,Rental Income,Rental Income,1,No,0,0,0,Yes,36740714,No,0,90533803,2423708,Yes,92,Bank,9,2,7,7,4,1,1,Suspicious
1380,relatives,Professional,CA,Yes,East,1205,Sale Deed,65413,South,2237,Cheque,10,21028125,Yes,2319148,2899884,2887221,2708281,2693653,Income,Income,Inheritance,2,No,0,0,0,Yes,39283800,No,0,72649527,1385265,Yes,92,Cooperative Society,9,1,2,3,0,0,0,Approved Transaction
1174,relatives,Graduate,lawyer,Yes,West,764,Sale Deed,67248,South,2900,Cheque,7,84643980,Yes,1599711,2657443,2745448,2053647,2727927,Income,Income,Inheritance,1,No,0,0,0,Yes,58209499,No,0,148713957,1700765,Yes,83,Cooperative Society,8,0,1,2,2,0,0,Approved Transaction
44,relatives,Illiterate,fisherman,No,North,277,Gift Deed,1673,East,40715,Cash,5,10221387,Yes,1843967,1519188,2888443,2291104,3452598,Income,Income,Inheritance,2,Yes,3,12,94130631,No,0,Yes,1,271088786,5498980,Yes,2,NBFC,10,5,12,7,5,1,0,Suspicious
1970,others,Undergraduate,builder,No,South,2065,Sale Deed,56887,Central,2023,Cheque,10,77973501,No,314383,322264,312029,238272,679614,Gift,Income,Sale Property,1,No,0,0,0,Yes,35452617,No,0,110122664,1383213,Yes,81,Cooperative Society,8,6,19,10,4,2,0,Suspicious
312,relatives,Professional,lawyer,Yes,West,530,Sale Deed,52733,Central,2639,Cheque,7,23912804,Yes,1366125,2740716,2707769,2813313,3229430,Income,Income,Inheritance,2,No,0,0,0,Yes,27484658,No,0,70591876,1214601,Yes,84,Cooperative Society,9,1,0,0,0,0,0,Approved Transaction
861,relatives,Illiterate,caretaker,No,North,515,Sale Deed,46020,Central,2965,Cheque,5,73792480,Yes,4933283,5463289,6125540,7425143,8583155,Rental Income,Income,Income,0,Yes,3,10,103004024,No,0,Yes,1,258425141,5961898,Yes,18,Family,9,3,6,6,4,0,0,Approved Transaction
1648,relatives,Illiterate,farmer,No,North,636,Sale Deed,53168,South,2895,Cheque,5,34977042,Yes,4500401,5426324,6432007,7859389,8529864,Rental Income,Rental Income,Income,1,Yes,5,10,106158787,No,0,Yes,0,295339821,5174737,Yes,10,NBFC,10,3,5,8,3,0,0,Approved Transaction
644,others,Post Graduate,businessman,No,South,2497,Sale Deed,49752,South,2327,Cheque,9,35121447,No,204047,590126,381359,231686,630494,Gift,Income,Sale Property,1,No,0,0,0,Yes,56800271,No,0,79183775,1078636,Yes,95,Cooperative Society,9,5,12,7,4,1,2,Suspicious
553,others,Professional,businessman,No,South,2753,Sale Deed,67346,South,2844,Cheque,8,93451267,No,270517,337026,231741,217004,436757,Gift,Income,Sale Property,1,No,0,0,0,Yes,49021194,No,0,152883318,2348562,Yes,94,Cooperative Society,8,4,10,7,5,2,0,Suspicious
400,relatives,Marticualte,clerk,No,East,363,Sale Deed,45344,South,2623,Cheque,7,72079230,Yes,4794592,5191080,6190280,7802838,9496694,Rental Income,Rental Income,Income,0,Yes,4,11,117766315,No,0,Yes,1,229702631,5477064,Yes,19,Family,9,3,5,8,3,1,0,Approved Transaction
1008,relatives,Graduate,civil servant,Yes,East,550,Gift Deed,1850,West,35479,Cash,3,5911794,Yes,1381391,2858049,2047452,2220831,3274658,Income,Income,Inheritance,2,Yes,4,10,113168828,No,0,Yes,1,215814993,5738514,Yes,10,NBFC,9,4,8,4,2,1,1,Suspicious
1510,relatives,Professional,teacher,Yes,East,1276,Sale Deed,55747,Central,2669,Cheque,5,97201260,Yes,1415557,2447812,2053168,2282431,2551191,Income,Income,Inheritance,2,No,0,0,0,Yes,31574999,No,0,97530041,1948635,Yes,97,Bank,8,1,4,0,2,0,0,Approved Transaction
1615,relatives,Illiterate,fisherman,No,North,301,Sale Deed,66581,Central,2026,Cheque,10,75864748,Yes,4821401,5000522,6345802,7857111,8694748,Income,Income,Rental Income,0,Yes,3,10,91743673,No,0,Yes,0,259854806,4782201,Yes,18,NBFC,10,3,6,8,4,0,0,Approved Transaction
1059,self,Post Graduate,teacher,Yes,North,627,Will,1312,East,43601,Cash,1,13750797,Yes,1071767,2278286,2378928,2869848,3010228,Income,Income,Inheritance,2,Yes,5,10,61562781,No,0,Yes,0,205803971,5947512,Yes,7,NBFC,9,4,7,6,2,0,1,Suspicious
